ASV,community,degree,intramodule_degree,z_score,P_score,role
89dfaf0aa4a8af8e27a826ba8dd97044,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
cd991e2f230049eb76c8e3b3fcece79f,6,5,5,-0.7185415231566117,0.0,Ultra-peripheral non-hub
21ceeb224e15175f0c85797abce40d0a,6,5,5,-0.7185415231566117,0.0,Ultra-peripheral non-hub
09ee5eb3e6c726c7c8242f6e97453fc2,1,3,3,-0.7614178874457947,0.0,Ultra-peripheral non-hub
659d1fe872c9b31a9e0b81eef5ca6218,1,3,3,-0.7614178874457947,0.0,Ultra-peripheral non-hub
8b2843ccdbc3d39c6d758b7f91388341,3,8,8,-0.8091503355879259,0.0,Ultra-peripheral non-hub
a402fc6f0fd057decbe746f48bf12862,3,8,8,-0.8091503355879259,0.0,Ultra-peripheral non-hub
aa20c972229ba580ad2044118ab67181,6,4,4,-0.8664765426300317,0.0,Ultra-peripheral non-hub
894d5f2608f2a0e9e3bf2499f1cc6130,3,7,7,-0.9087993916948133,0.0,Ultra-peripheral non-hub
8a1c973b6094cbd560f363581ce1beba,1,2,2,-0.9740661262820077,0.0,Ultra-peripheral non-hub
42bdb37eaf4585993d2dadc410341bfc,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
bb617d32673d5f60d6216a07ad7a42bc,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
55c520d7fe25c3a704fca36f36fde991,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
fde5fbd4507f68a2eabc92fb449d9965,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
b26eb5a5ca6820d220d5433b1cffa5e6,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
43a52ec4605b37f3671b33e61ff6fedd,3,5,5,-1.108097503908588,0.0,Ultra-peripheral non-hub
f847d5bbe9c5a3555db3988cfa1b838f,4,1,1,-1.118033988749895,0.0,Ultra-peripheral non-hub
29b313a5262947210e3e9de415abaead,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
c571cb007a7d9e2dfc56e8c0b4e24104,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
8d422552eb2392c7c2d4743727d1ff33,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
4c31c3e198534eab45b6d92b61f75b10,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
a6efdb52a04e05a2a1be52f5516784fa,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
dc9b83b9dbf521d0d0b0e1576e44d06a,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
d801b2110a503327da848c95357ca4a5,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
ac9e79a82beb3b70c0c7193fff0a8524,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
aca43babf06d3410ce71cad5778ff102,3,4,4,-1.2077465600154755,0.0,Ultra-peripheral non-hub
5976a56adfe903f7348b5eb5689e3c55,3,4,4,-1.2077465600154755,0.0,Ultra-peripheral non-hub
9711e5e56376fe411f8d9ca9e739c6f1,5,1,1,-1.2780193008453875,0.0,Ultra-peripheral non-hub
c7553191e309cfc2e28aea2507e7afdf,3,3,3,-1.307395616122363,0.0,Ultra-peripheral non-hub
b5b93f7fc3d0a88dff0ced83eb0bb5ab,3,3,3,-1.307395616122363,0.0,Ultra-peripheral non-hub
924ba8e00fb9f76de6bf217aac8ca9d4,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
380c64674875dbcea485ba8f1ce26a6c,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
abaecd8b82d14efc7ccc4dcb7f864cba,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
61bffb5ed48deb86adad74d3d45df340,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
e29f9ab1342fe7d53d4f1e2d03bb5969,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
